open_time,open,high,low,close,volume,close_time,quote_volume,n_trades
1513316700,17187.75,17250.0,17140.7,17244.99,49.655955,1513317599,854030.64752155,630
1513317600,17244.99,17327.98,17202.61,17262.02,63.755805,1513318499,1099670.48400936,617
1513318500,17299.01,17301.98,17130.73,17159.98,105.081684,1513319399,1807113.60356498,606
1513319400,17159.98,17199.97,17078.9,17182.47,146.149969,1513320299,2503608.58638463,950
1513320300,17171.0,17182.47,17101.0,17144.48,59.447767,1513321199,1019243.68876663,556
1513321200,17150.52,17160.0,17030.56,17059.99,112.347737,1513322099,1916262.77163705,697
1513322100,17059.99,17097.0,17030.62,17063.86,70.976464,1513322999,1210329.6740305,542
1513323000,17063.86,17199.5,17039.09,17198.5,44.693953,1513323899,765296.18592776,702
1513323900,17170.02,17199.0,17050.55,17073.27,57.262723,1513324799,979592.89766321,600
1513324800,17070.0,17080.82,16876.89,16913.59,157.619531,1513325699,2674710.10878367,1088
1513325700,16913.59,17058.5,16900.0,17010.06,167.172503,1513326599,2837444.78960151,880
1513326600,17011.04,17140.99,17011.04,17140.99,78.571981,1513327499,1340560.65950121,484
1513327500,17155.95,17388.22,17141.04,17299.02,71.568692,1513328399,1235330.4130956,679
1513328400,17298.98,17487.63,17264.55,17487.63,90.518219,1513329299,1570207.64792032,707
1513329300,17487.63,17522.0,17369.5,17392.98,144.297969,1513330199,2516756.03041781,1061
1513330200,17392.98,17499.0,17360.02,17420.02,89.31642,1513331099,1555522.05188759,704
1513331100,17445.97,17653.0,17403.17,17640.05,123.349469,1513331999,2158249.44537545,902
1513332000,17653.0,17865.0,17520.0,17691.9,134.855361,1513332899,2389212.5213613,1371
1513332900,17691.84,17900.0,17691.84,17779.97,93.893195,1513333799,1672878.43668638,1077
1513333800,17779.98,17982.22,17745.0,17840.5,123.426088,1513334699,2209644.60108437,1104
1513334700,17840.48,17900.0,17650.05,17860.02,110.031342,1513335599,1951160.51147835,1025
1513335600,17879.52,17899.0,17700.56,17723.31,83.804677,1513336499,1487671.01712745,810
1513336500,17702.0,17779.97,17650.05,17731.03,55.924108,1513337399,991005.35681949,547
1513337400,17769.98,17903.0,17735.1,17903.0,83.380833,1513338299,1485479.67744253,771
1513338300,17903.0,17980.0,17859.98,17900.0,59.163351,1513339199,1060358.13372673,676
1513339200,17900.0,17991.0,17877.85,17962.99,115.674726,1513340099,2078050.6912418,727
1513340100,17962.99,17980.0,17800.0,17940.0,149.453323,1513340999,2673383.52259459,776
1513341000,17939.97,17989.98,17900.17,17920.0,96.8152,1513341899,1738028.09527176,746
1513341900,17920.22,17938.96,17825.1,17866.0,88.868446,1513342799,1589354.93581918,850
1513342800,17866.0,17948.98,17835.52,17846.71,112.514978,1513343699,2011586.20583907,778
1513343700,17836.01,17860.0,17617.77,17630.0,149.770965,1513344599,2658535.87833785,1022
1513344600,17652.01,17718.99,17570.0,17570.01,113.320252,1513345499,1999968.05426397,1240
1513345500,17570.0,17770.0,17525.01,17744.09,150.576384,1513346399,2652130.40744562,1372
1513346400,17744.09,17892.0,17639.95,17735.02,124.686951,1513347299,2216455.91714752,1203
1513347300,17735.02,17791.2,17656.13,17751.17,70.940819,1513348199,1255966.71584326,773
